"","MAJOR_MARKET_CODE_C","ROOM_NUM_C","ROOM_TYPE_CODE_C","CHECK_IN_DATE_C","LENGTH_OF_STAY_C","ADULT_NUM_C","POV_CODE_C","PMS_ROOM_REV_USD_C","PMS_FOOD_BEVERAGE_REV_USD_C","RESERVATION_STATUS_R","MAJOR_MARKET_CODE_R","GUEST_COUNTRY_R","MEMBER_STATUS_R","PAST_VS_FUTURE_R","REVENUE_USD_R","Gender_H","Age_Range_H","Guest_Room_H","Tranquility_H","Condition_Hotel_H","Customer_SVC_H","Staff_Cared_H","Internet_Sat_H","Check_In_H","F.B_Overall_Experience_H","City_PL","State_PL","Guest.NPS.Goal_PL","Brand_PL","Club.Type_PL","Hotel.Inventory_PL","Floors_PL","Union_PL","Relationship_PL","All.Suites_PL","Bell.Staff_PL","Boutique_PL","Business.Center_PL","Casino_PL","Conference_PL","Convention_PL","Dry.Cleaning_PL","Elevators_PL","Fitness.Center_PL","Fitness.Trainer_PL","Golf_PL","Indoor.Corridors_PL","Laundry_PL","Limo.Service_PL","Mini.Bar_PL","Pool.Indoor_PL","Pool.Outdoor_PL","Regency.Grand.Club_PL","Resort_PL","Restaurant_PL","Self.Parking_PL","Shuttle.Service_PL","Ski_PL","Spa_PL","Spa.services.in.fitness.center_PL","Spa.online.booking_PL","Spa.F.B.offering_PL","Valet.Parking_PL","Booking_Channel","NPS_Type"
"1058","TRANSIENT","302","KING","2014-03-28",1,1,"LEISURE",179,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",179,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Scottsdale","Arizona",68,"Hyatt Place","",127,6,"No","Managed","Y","N","N","N","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","N","N","N","N","","","N","Digital Channels",""
"1059","TRANSIENT","0104","DDBL","2014-03-05",1,1,"BUSINESS",114,0,"CONFRM","TRANSIENT","UNITED STATES","","Past",114,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Irmo,","South Carolina",57,"Hyatt Place","",127,6,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","N","N","N","N","","","N","Hotel",""
"1060","TRANSIENT","427","QNQN","2014-03-11",1,1,"LEISURE",104,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",104,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Milwaukee","Wisconsin",71,"Hyatt Place","",99,4,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Digital Channels",""
"1061","TRANSIENT","1130","1VWK","2014-03-12",5,1,"BUSINESS",526.97,187.26,"CONFRM","TRANSIENT","INDIA","","Future",889.89,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Malate","",47,"Hyatt Regency","Club",378,32,"No","Managed","N","Y","N","N","Y","N","N","Y","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","N","Y","Y","N","N","Y","","N","N","Y","Hotel",""
"1062","TRANSIENT","0221","DDBL","2014-03-28",1,4,"BUSINESS",130.54,26,"CONFRM","TRANSIENT","","","Future",130.54,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Tampa","Florida",61,"Hyatt Place","",124,6,"No","Franchised","Y","Y","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Internet",""
"1063","TRANSIENT","1701","KING","2014-03-14",1,2,"BUSINESS",121.54,33.9,"CONFRM","TRANSIENT","","","Future",138.58,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Cincinnati","Ohio",30,"Hyatt Regency","",488,22,"No","Managed","N","Y","N","Y","N","N","Y","Y","Y","Y","N","N","Y","N","N","N","Y","N","N","N","Y","N","N","N","N","N","","","Y","Internet",""
"1064","TRANSIENT","0400","KING","2014-03-14",2,4,"BUSINESS",246.4,0,"CONFRM","TRANSIENT","UNITED STATES","Platinum","Future",492.8,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Louisville","Kentucky",62,"Hyatt Place","",121,5,"No","Owned","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","Y","N","N","N","","","N","Digital Channels",""
"1065","TRANSIENT","607","KING","2014-03-05",1,2,"BUSINESS",116,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",232,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Orlando","Florida",65,"Hyatt Place","",149,7,"No","Managed","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","N","N","N","N","Y","N","N","N","Y","N","N","N","N","","","N","Digital Channels",""
"1066","TRANSIENT","111","QDHA","2014-03-01",1,4,"LEISURE",289,0,"CONFRM","TRANSIENT","UNITED STATES","Gold","Future",289,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Uncasville","Connecticut",76,"Hyatt Place","",176,6,"No","Franchised","Y","N","N","Y","N","N","N","N","Y","Y","N","N","Y","N","N","N","Y","N","N","N","N","Y","Y","N","N","N","","","N","Global Contact Center",""
"1067","TRANSIENT","0142","KING","2014-03-29",1,2,"LEISURE",186.75,0,"CONFRM","TRANSIENT","UNITED STATES","","Future",186.75,"","",NA,NA,NA,NA,NA,NA,NA,NA,"Fort Myers","Florida",71,"Hyatt Place","",148,5,"No","Franchised","Y","N","N","Y","N","N","N","Y","Y","Y","N","N","Y","Y","N","N","N","Y","N","N","N","Y","N","N","N","N","","","N","Global Contact Center",""
